Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,5,A Mishra,8,14,0,0,57,0,0,2,32,0,16.0,0,0,0,0,0,0,2.0,-3,0,-1.0
1,35,A Mishra,4,11,0,0,36,0,0,1,9,0,9.0,0,0,0,0,0,0,-1.0,-1,0,-2.0
2,44,A Mishra,9,15,0,0,60,1,0,4,38,1,9.5,0,0,1,0,0,1,3.5,9,4,16.5
3,49,A Mishra,8,2,2,0,400,0,1,2,27,1,13.5,0,0,0,0,0,0,5.0,7,4,16.0
4,51,A Mishra,13,10,0,1,130,0,0,3,26,0,8.666666666666666,1,0,0,0,0,1,7.5,0,0,7.5
5,55,A Mishra,7,4,0,1,175,0,0,2,26,0,13.0,0,0,0,0,0,0,4.5,-3,0,1.5
6,93,A Mishra,4,5,0,0,80,0,0,3,27,2,9.0,2,0,0,1,0,3,2.0,19,0,21.0
7,95,A Mishra,31,32,3,0,96,0,0,3,14,0,4.666666666666667,0,0,1,0,0,1,17.0,2,0,19.0
8,115,A Mishra,2,5,0,0,40,0,0,4,38,2,9.5,1,0,1,0,0,2,-2.0,19,0,17.0
9,133,A Mishra,0,4,0,0,0,0,1,4,34,3,8.5,0,0,0,1,0,1,-3.0,30,4,31.0
10,141,A Mishra,11,8,1,1,137,0,0,3,24,0,8.0,0,0,0,0,0,0,7.0,0,0,7.0
11,158,A Mishra,2,3,0,0,66,0,0,3,39,0,13.0,0,0,0,0,0,0,0.0,-3,0,-3.0
12,170,A Mishra,13,4,1,1,325,0,0,4,44,0,11.0,0,0,2,1,0,3,8.0,-2,0,6.0
13,172,A Mishra,0,1,0,0,0,0,0,4,19,3,4.75,0,0,0,0,0,0,-3.0,32,0,29.0
14,183,A Mishra,3,5,0,0,60,0,0,4,44,1,11.0,1,0,0,0,0,1,0.5,8,0,8.5
15,185,A Mishra,6,3,1,0,200,2,0,3,25,1,8.333333333333334,3,0,0,0,0,3,3.5,10,8,21.5
16,189,A Mishra,0,1,0,0,0,0,0,3,13,1,4.333333333333333,0,0,1,1,0,2,-3.0,12,0,9.0
17,213,A Mishra,4,6,0,0,66,0,0,4,41,0,10.25,2,0,0,0,0,2,1.0,-2,0,-1.0
18,218,A Mishra,10,12,0,0,83,0,0,4,16,1,4.0,0,0,1,0,0,1,5.0,13,0,18.0
19,221,A Mishra,12,17,0,0,70,1,0,3,31,0,10.333333333333334,0,0,1,0,0,1,6.0,-2,4,8.0
20,229,A Mishra,4,10,0,0,40,0,0,4,28,1,7.0,0,0,0,0,0,0,-1.0,10,0,9.0
21,236,A Mishra,2,2,0,0,100,0,0,4,28,0,7.0,0,0,0,0,0,0,1.0,0,0,1.0
22,240,A Mishra,12,6,1,1,200,0,0,4,20,2,5.0,0,0,1,0,0,1,7.5,22,0,29.5
23,249,A Mishra,0,1,0,0,0,0,0,4,29,2,7.25,0,0,1,0,0,1,-3.0,20,0,17.0
24,260,A Mishra,25,19,4,0,131,0,0,4,14,2,3.5,0,0,0,0,0,0,14.5,23,0,37.5
25,265,A Mishra,0,1,0,0,0,0,0,4,14,1,3.5,0,0,2,0,0,2,-3.0,13,0,10.0
26,272,A Mishra,2,5,0,0,40,0,0,3,34,0,11.333333333333334,0,0,0,0,0,0,-2.0,-3,0,-5.0
27,275,A Mishra,9,10,0,0,90,0,0,3,22,1,7.333333333333333,1,0,0,0,0,1,4.5,10,0,14.5
28,286,A Mishra,0,1,0,0,0,0,0,4,26,1,6.5,0,0,0,1,0,1,-3.0,10,0,7.0
29,292,A Mishra,18,7,4,0,257,0,0,4,22,1,5.5,0,4,0,0,0,4,11.0,11,0,22.0
30,316,A Mishra,0,2,0,0,0,0,0,4,31,1,7.75,0,0,0,0,0,0,-3.0,10,0,7.0
31,323,A Mishra,6,7,0,0,85,0,0,2,26,0,13.0,1,0,0,0,0,1,3.0,-3,0,0.0
32,337,A Mishra,1,1,0,0,100,0,0,4,27,1,6.75,1,0,0,0,0,1,0.5,10,0,10.5
33,346,A Mishra,1,6,0,0,16,0,0,4,29,0,7.25,2,0,0,0,0,2,-2.5,0,0,-2.5
34,359,A Mishra,8,5,1,0,160,0,0,2,20,0,10.0,0,0,0,0,0,0,4.5,-1,0,3.5
35,394,A Mishra,16,14,2,0,114,0,0,4,15,1,3.75,0,0,0,0,0,0,9.0,13,0,22.0
36,397,A Mishra,1,1,0,0,100,0,1,3,28,0,9.333333333333334,0,0,0,0,0,0,0.5,-1,4,3.5
37,402,A Mishra,30,26,3,0,115,0,0,4,19,4,4.75,0,0,0,0,0,0,16.5,46,0,62.5
38,414,A Mishra,15,21,2,0,71,1,0,4,26,3,6.5,0,0,0,0,0,0,8.5,30,4,42.5
39,416,A Mishra,21,33,2,0,63,0,0,2,20,0,10.0,0,0,0,0,0,0,10.5,-1,0,9.5
40,435,A Mishra,6,8,0,0,75,0,0,4,41,0,10.25,0,0,0,1,0,1,3.0,-2,0,1.0
41,466,A Mishra,4,5,0,0,80,0,0,4,56,2,14.0,1,0,0,0,0,1,2.0,17,0,19.0
42,487,A Mishra,0,2,0,0,0,0,0,4,13,0,3.25,1,0,0,0,0,1,-3.0,3,0,0.0
43,519,A Mishra,4,5,0,0,80,0,0,4,21,1,5.25,0,0,0,0,0,0,2.0,11,0,13.0
44,535,A Mishra,1,1,0,0,100,0,0,4,22,0,5.5,0,0,0,0,0,0,0.5,1,0,1.5
45,543,A Mishra,2,4,0,0,50,0,0,2,25,0,12.5,1,0,0,0,0,1,-2.0,-3,0,-5.0
46,553,A Mishra,1,3,0,0,33,1,0,4,41,0,10.25,1,0,0,0,0,1,-2.5,-2,4,-0.5
47,578,A Mishra,3,9,0,0,33,0,0,2,11,1,5.5,5,0,0,0,0,5,-1.5,11,0,9.5
48,623,A Mishra,1,5,0,0,20,0,0,4,42,1,10.5,0,0,0,0,0,0,-2.5,8,0,5.5
