Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,8,AB de Villiers,89,49,3,9,181,0,0,0,0,0,0,0,0,0,0,0,0,59.0,0,0,59.0
1,12,AB de Villiers,19,22,0,1,86,1,0,0,0,0,0,0,0,0,0,0,0,10.5,0,4,14.5
2,17,AB de Villiers,29,32,1,2,90,1,0,0,0,0,0,0,0,0,0,0,0,17.0,0,4,21.0
3,27,AB de Villiers,8,6,2,0,133,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0,4,9.0
4,30,AB de Villiers,5,12,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,8,7.5
5,33,AB de Villiers,3,8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,-1.5
6,37,AB de Villiers,43,28,3,3,153,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,26.0
7,42,AB de Villiers,10,6,1,1,166,1,0,0,0,0,0,0,0,0,0,0,0,6.5,0,4,10.5
8,45,AB de Villiers,10,8,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
9,79,AB de Villiers,26,22,2,0,118,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,14.0
10,82,AB de Villiers,21,17,2,1,123,1,0,0,0,0,0,0,0,0,0,0,0,12.5,0,4,16.5
11,87,AB de Villiers,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,8,5.0
12,93,AB de Villiers,20,23,0,0,86,0,1,0,0,0,0,0,0,0,0,0,0,10.0,0,4,14.0
13,95,AB de Villiers,7,12,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5
14,104,AB de Villiers,21,25,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,11.0
15,125,AB de Villiers,105,54,5,6,194,2,0,0,0,0,0,0,0,0,0,0,0,69.0,0,8,77.0
16,129,AB de Villiers,21,23,0,0,91,0,1,0,0,0,0,0,0,0,0,0,0,10.5,0,4,14.5
17,133,AB de Villiers,50,41,5,1,121,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,32.5
18,136,AB de Villiers,5,9,1,0,55,2,0,0,0,0,0,0,0,0,0,0,0,1.0,0,8,9.0
19,141,AB de Villiers,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,-3.0,0,16,13.0
20,150,AB de Villiers,50,38,6,1,131,1,0,0,0,0,0,0,0,0,0,0,0,33.0,0,4,37.0
21,154,AB de Villiers,40,33,5,0,121,1,0,0,0,0,0,0,0,0,0,0,0,22.5,0,4,26.5
22,158,AB de Villiers,44,36,4,1,122,1,0,0,0,0,0,0,0,0,0,0,0,25.0,0,4,29.0
23,161,AB de Villiers,11,12,1,0,91,1,0,0,0,0,0,0,0,0,0,0,0,6.0,0,4,10.0
24,165,AB de Villiers,79,55,8,1,143,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,48.5
25,167,AB de Villiers,28,29,3,0,96,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,15.5
26,170,AB de Villiers,6,7,1,0,85,1,0,0,0,0,0,0,0,0,0,0,0,3.5,0,4,7.5
27,172,AB de Villiers,26,21,0,2,123,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,15.0
28,177,AB de Villiers,7,15,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
29,180,AB de Villiers,15,26,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4,9.5
30,183,AB de Villiers,11,11,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5
31,185,AB de Villiers,2,3,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,4,4.0
32,189,AB de Villiers,27,26,2,0,103,2,1,0,0,0,0,0,0,0,0,0,0,14.5,0,12,26.5
33,197,AB de Villiers,45,35,3,0,128,1,1,0,0,0,0,0,0,0,0,0,0,24.0,0,8,32.0
34,221,AB de Villiers,4,7,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,8,8.0
35,237,AB de Villiers,54,41,1,5,131,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,36.5
36,242,AB de Villiers,38,37,3,1,102,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,21.5
37,245,AB de Villiers,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
38,248,AB de Villiers,65,45,5,2,144,1,0,0,0,0,0,0,0,0,0,0,0,41.0,0,4,45.0
39,263,AB de Villiers,5,2,1,0,250,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0,4,7.0
40,268,AB de Villiers,26,20,1,1,130,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,14.5
41,280,AB de Villiers,27,14,2,2,192,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,16.5
42,291,AB de Villiers,13,14,2,0,92,1,0,0,0,0,0,0,0,0,0,0,0,7.5,0,4,11.5
43,296,AB de Villiers,34,27,3,1,125,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,19.5
44,302,AB de Villiers,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
45,304,AB de Villiers,11,10,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5
46,306,AB de Villiers,21,16,0,1,131,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,11.5
47,307,AB de Villiers,18,12,3,0,150,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,10.5
48,312,AB de Villiers,64,42,6,2,152,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0,0,41.0
49,317,AB de Villiers,10,10,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4,9.5
50,320,AB de Villiers,4,3,1,0,133,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
51,326,AB de Villiers,6,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0
52,329,AB de Villiers,33,14,2,3,235,0,2,0,0,0,0,0,0,0,0,0,0,20.5,0,8,28.5
53,333,AB de Villiers,52,41,6,0,126,1,0,0,0,0,0,0,0,0,0,0,0,33.0,0,4,37.0
54,338,AB de Villiers,59,24,3,5,245,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,0,40.0
55,344,AB de Villiers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
56,350,AB de Villiers,17,13,1,1,130,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,10.0
57,356,AB de Villiers,47,17,5,3,276,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,29.0
58,362,AB de Villiers,9,4,0,1,225,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
59,367,AB de Villiers,14,13,1,0,107,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5
60,376,AB de Villiers,4,11,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,4,3.0
61,392,AB de Villiers,22,22,2,1,100,1,0,0,0,0,0,0,0,0,0,0,0,13.0,0,4,17.0
62,396,AB de Villiers,64,33,8,1,193,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0,0,41.0
63,401,AB de Villiers,52,36,3,3,144,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,34.5
64,407,AB de Villiers,7,8,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
65,411,AB de Villiers,31,9,3,3,344,1,0,0,0,0,0,0,0,0,0,0,0,20.0,0,4,24.0
66,417,AB de Villiers,2,3,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,4,4.0
67,420,AB de Villiers,21,13,3,0,161,1,0,0,0,0,0,0,0,0,0,0,0,12.0,0,4,16.0
68,426,AB de Villiers,50,23,6,2,217,2,0,0,0,0,0,0,0,0,0,0,0,34.0,0,8,42.0
69,429,AB de Villiers,6,2,0,1,300,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0,4,8.0
70,432,AB de Villiers,15,15,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,8.5,0,4,12.5
71,438,AB de Villiers,32,17,2,2,188,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,19.0
72,441,AB de Villiers,28,22,1,1,127,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,15.5
73,448,AB de Villiers,38,20,4,2,190,1,0,0,0,0,0,0,0,0,0,0,0,23.0,0,4,27.0
74,452,AB de Villiers,5,3,1,0,166,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,3.0
75,462,AB de Villiers,45,48,3,1,93,2,0,0,0,0,0,0,0,0,0,0,0,25.0,0,8,33.0
76,468,AB de Villiers,11,12,1,0,91,1,0,0,0,0,0,0,0,0,0,0,0,6.0,0,4,10.0
77,471,AB de Villiers,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
78,475,AB de Villiers,17,15,2,0,113,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,9.5
79,481,AB de Villiers,89,43,6,8,206,1,0,0,0,0,0,0,0,0,0,0,0,59.5,0,4,63.5
80,484,AB de Villiers,9,7,2,0,128,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
81,488,AB de Villiers,53,28,1,5,189,1,0,0,0,0,0,0,0,0,0,0,0,36.0,0,4,40.0
82,492,AB de Villiers,58,32,1,5,181,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,0,38.5
83,495,AB de Villiers,33,17,4,1,194,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,19.5
84,499,AB de Villiers,28,15,1,3,186,1,0,0,0,0,0,0,0,0,0,0,0,17.5,0,4,21.5
85,503,AB de Villiers,29,18,2,1,161,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,16.5
86,506,AB de Villiers,13,13,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,7.0
87,510,AB de Villiers,10,6,2,0,166,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
88,522,AB de Villiers,28,13,3,2,215,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,17.5
89,525,AB de Villiers,46,29,5,2,158,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,27.5
90,534,AB de Villiers,41,12,5,3,341,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,26.0
91,538,AB de Villiers,14,10,0,2,140,2,0,0,0,0,0,0,0,0,0,0,0,9.0,0,8,17.0
92,540,AB de Villiers,47,34,6,0,138,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,26.5
93,546,AB de Villiers,57,47,9,1,121,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,38.0
94,550,AB de Villiers,2,4,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,4,2.0
95,554,AB de Villiers,21,14,5,0,150,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,13.0
96,557,AB de Villiers,47,24,3,4,195,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,29.0
97,562,AB de Villiers,133,61,19,4,218,1,0,0,0,0,0,0,0,0,0,0,0,88.0,0,4,92.0
98,566,AB de Villiers,10,10,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4,9.5
99,568,AB de Villiers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
100,574,AB de Villiers,66,40,4,4,165,2,0,0,0,0,0,0,0,0,0,0,0,43.0,0,8,51.0
101,575,AB de Villiers,1,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
102,580,AB de Villiers,82,44,7,6,186,2,0,0,0,0,0,0,0,0,0,0,0,54.5,0,8,62.5
103,587,AB de Villiers,55,33,9,1,166,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0,0,37.0
104,590,AB de Villiers,29,22,3,1,131,2,0,0,0,0,0,0,0,0,0,0,0,17.0,0,8,25.0
105,592,AB de Villiers,83,46,6,4,180,2,0,0,0,0,0,0,0,0,0,0,0,52.5,0,8,60.5
106,595,AB de Villiers,20,16,2,0,125,1,0,0,0,0,0,0,0,0,0,0,0,11.0,0,4,15.0
107,603,AB de Villiers,47,33,3,2,142,2,0,0,0,0,0,0,0,0,0,0,0,27.0,0,8,35.0
108,606,AB de Villiers,4,6,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0
109,611,AB de Villiers,1,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
110,615,AB de Villiers,64,35,5,2,182,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,40.5
111,617,AB de Villiers,24,27,1,1,88,2,0,0,0,0,0,0,0,0,0,0,0,13.5,0,8,21.5
112,620,AB de Villiers,129,53,10,12,243,2,0,0,0,0,0,0,0,0,0,0,0,89.5,0,8,97.5
