Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,3,AJ Finch,15,8,0,2,187,0,0,0,0,0,0.0,0,0,0,0,0,0,9.5,0,0,9.5
1,6,AJ Finch,3,5,0,0,60,0,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.5
2,13,AJ Finch,33,20,3,2,165,2,0,0,0,0,0.0,0,0,0,0,0,0,20.0,0,8,28.0
3,20,AJ Finch,19,16,2,1,118,0,0,0,0,0,0.0,0,0,0,0,0,0,11.5,0,0,11.5
4,23,AJ Finch,31,15,4,2,206,0,0,0,0,0,0.0,0,0,0,0,0,0,19.5,0,0,19.5
5,26,AJ Finch,13,12,0,1,108,1,0,0,0,0,0.0,0,0,0,0,0,0,7.5,0,4,11.5
6,30,AJ Finch,72,36,5,6,200,1,0,0,0,0,0.0,0,0,0,0,0,0,48.5,0,4,52.5
7,34,AJ Finch,1,7,0,0,14,1,0,0,0,0,0.0,0,0,0,0,0,0,-2.5,0,4,1.5
8,38,AJ Finch,13,7,1,1,185,0,1,0,0,0,0.0,0,0,0,0,0,0,8.0,0,4,12.0
9,41,AJ Finch,27,19,4,0,142,0,0,0,0,0,0.0,0,0,0,0,0,0,15.5,0,0,15.5
10,46,AJ Finch,2,2,0,0,100,1,0,0,0,0,0.0,0,0,0,0,0,0,1.0,0,4,5.0
11,49,AJ Finch,69,40,6,4,172,0,0,0,0,0,0.0,0,0,0,0,0,0,45.5,0,0,45.5
12,52,AJ Finch,2,3,0,0,66,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
13,227,AJ Finch,21,21,0,1,100,0,0,2,5,0,2.5,0,0,0,0,0,0,11.5,3,0,14.5
14,238,AJ Finch,8,13,1,0,61,0,0,2,13,0,6.5,1,0,0,0,0,1,3.5,0,0,3.5
15,241,AJ Finch,11,16,1,1,68,0,0,0,0,0,0.0,0,0,0,0,0,0,6.0,0,0,6.0
16,250,AJ Finch,25,14,1,2,178,1,0,0,0,0,0.0,0,0,0,0,0,0,15.0,0,4,19.0
17,253,AJ Finch,0,1,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,8,5.0
18,259,AJ Finch,3,5,0,0,60,0,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.5
19,279,AJ Finch,0,2,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
20,309,AJ Finch,30,28,5,0,107,0,1,0,0,0,0.0,0,0,0,0,0,0,17.5,0,4,21.5
21,312,AJ Finch,25,24,3,0,104,0,0,0,0,0,0.0,0,0,0,0,0,0,14.0,0,0,14.0
22,393,AJ Finch,64,56,6,3,114,0,0,0,0,0,0.0,0,0,0,0,0,0,42.0,0,0,42.0
23,395,AJ Finch,0,1,0,0,0,0,0,2,11,1,5.5,0,0,0,0,0,0,-3.0,11,0,8.0
24,399,AJ Finch,67,46,10,2,145,1,0,1,9,0,9.0,0,0,0,0,0,0,44.5,-1,4,47.5
25,402,AJ Finch,16,13,3,0,123,1,0,0,0,0,0.0,0,0,0,0,0,0,9.5,0,4,13.5
26,409,AJ Finch,64,43,8,2,148,0,0,0,0,0,0.0,0,0,0,0,0,0,42.0,0,0,42.0
27,411,AJ Finch,18,15,4,0,120,0,0,1,29,0,29.0,0,0,0,0,0,0,11.0,-3,0,8.0
28,419,AJ Finch,37,34,5,0,108,0,0,0,0,0,0.0,0,0,0,0,0,0,21.0,0,0,21.0
29,422,AJ Finch,15,9,2,1,166,0,0,0,0,0,0.0,0,0,0,0,0,0,9.5,0,0,9.5
30,426,AJ Finch,15,12,1,1,125,0,0,0,0,0,0.0,0,0,0,0,0,0,9.0,0,0,9.0
31,431,AJ Finch,45,33,7,0,136,0,0,0,0,0,0.0,0,0,0,0,0,0,26.0,0,0,26.0
32,437,AJ Finch,5,5,1,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,3.0,0,0,3.0
33,439,AJ Finch,10,11,2,0,90,0,0,0,0,0,0.0,0,0,0,0,0,0,6.0,0,0,6.0
34,445,AJ Finch,48,32,2,3,150,0,0,0,0,0,0.0,0,0,0,0,0,0,28.0,0,0,28.0
35,451,AJ Finch,52,34,3,4,152,0,0,0,0,0,0.0,0,0,0,0,0,0,35.5,0,0,35.5
36,461,AJ Finch,2,5,0,0,40,2,0,0,0,0,0.0,0,0,0,0,0,0,-2.0,0,8,6.0
37,466,AJ Finch,19,15,2,1,126,0,0,0,0,0,0.0,0,0,0,0,0,0,11.5,0,0,11.5
38,469,AJ Finch,88,54,8,4,162,1,0,0,0,0,0.0,0,0,0,0,0,0,56.0,0,4,60.0
39,474,AJ Finch,44,46,5,0,95,0,0,0,0,0,0.0,0,0,0,0,0,0,24.5,0,0,24.5
40,477,AJ Finch,16,15,3,0,106,0,0,0,0,0,0.0,0,0,0,0,0,0,9.5,0,0,9.5
41,481,AJ Finch,13,8,1,1,162,0,1,0,0,0,0.0,0,0,0,0,0,0,8.0,0,4,12.0
42,487,AJ Finch,9,10,1,0,90,1,0,0,0,0,0.0,0,0,0,0,0,0,5.0,0,4,9.0
43,489,AJ Finch,4,8,0,0,50,0,0,0,0,0,0.0,0,0,0,0,0,0,-1.0,0,0,-1.0
44,493,AJ Finch,68,62,7,2,109,0,0,0,0,0,0.0,0,0,0,0,0,0,43.5,0,0,43.5
45,496,AJ Finch,20,25,2,0,80,0,0,0,0,0,0.0,0,0,0,0,0,0,11.0,0,0,11.0
46,500,AJ Finch,8,8,1,0,100,1,0,0,0,0,0.0,0,0,0,0,0,0,4.5,0,4,8.5
47,503,AJ Finch,11,9,1,0,122,0,0,0,0,0,0.0,0,0,0,0,0,0,6.0,0,0,6.0
