Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,2,AT Rayudu,10,12,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,5.0
1,53,AT Rayudu,63,37,6,3,170,1,0,0,0,0,0,0,0,0,0,0,0,41.5,0,4,45.5
2,56,AT Rayudu,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
3,58,AT Rayudu,6,12,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,4.0
4,59,AT Rayudu,12,16,1,0,75,1,0,0,0,0,0,0,0,0,0,0,0,6.5,0,4,10.5
5,176,AT Rayudu,55,34,6,2,161,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,36.5
6,183,AT Rayudu,34,22,1,3,154,1,0,0,0,0,0,0,0,0,0,0,0,20.5,0,4,24.5
7,188,AT Rayudu,3,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5
8,199,AT Rayudu,6,8,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,3.0
9,201,AT Rayudu,9,14,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
10,207,AT Rayudu,55,30,6,2,183,1,0,0,0,0,0,0,0,0,0,0,0,36.5,0,4,40.5
11,211,AT Rayudu,3,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5
12,215,AT Rayudu,33,18,7,0,183,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,20.0
13,219,AT Rayudu,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-3.0,0,8,5.0
14,221,AT Rayudu,24,21,2,0,114,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,13.0
