Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,10,B Kumar,4,3,0,0,133,1,0,4,23,3,5.75,0,0,2,0,0,2,2.0,31,4,37.0
1,43,B Kumar,0,1,0,0,0,0,0,4,39,1,9.75,2,0,0,0,0,2,-3.0,9,0,6.0
2,295,B Kumar,1,1,0,0,100,0,0,2,10,0,5.0,0,0,0,0,0,0,0.5,2,0,2.5
3,310,B Kumar,2,4,0,0,50,0,0,2,13,0,6.5,0,0,0,0,0,0,-2.0,0,0,-2.0
4,332,B Kumar,2,5,0,0,40,0,0,3,37,0,12.333333333333334,0,0,0,1,0,1,-2.0,-3,0,-5.0
5,341,B Kumar,7,4,1,0,175,0,0,4,34,2,8.5,0,0,0,0,0,0,4.0,20,0,24.0
6,351,B Kumar,10,6,1,0,166,0,0,3,10,2,3.3333333333333335,0,0,1,0,0,1,5.5,23,0,28.5
7,353,B Kumar,11,7,2,0,157,0,0,4,26,2,6.5,8,0,0,0,0,8,6.5,20,0,26.5
8,362,B Kumar,2,4,0,0,50,0,0,4,44,0,11.0,1,0,4,0,0,5,-2.0,-2,0,-4.0
9,365,B Kumar,3,5,0,0,60,0,0,4,33,0,8.25,0,0,0,0,0,0,0.5,0,0,0.5
10,375,B Kumar,3,6,0,0,50,0,0,4,24,1,6.0,0,0,1,0,0,1,-1.5,11,0,9.5
11,384,B Kumar,3,3,0,0,100,0,0,4,18,1,4.5,0,0,1,0,0,1,1.5,12,0,13.5
12,387,B Kumar,8,12,1,0,66,0,0,2,16,0,8.0,0,0,0,0,0,0,3.5,0,0,3.5
13,395,B Kumar,6,11,0,0,54,0,0,2,16,0,8.0,0,0,0,0,0,0,1.0,0,0,1.0
14,402,B Kumar,0,1,0,0,0,0,0,4,18,3,4.5,2,0,0,0,0,2,-3.0,32,0,29.0
15,411,B Kumar,6,12,1,0,50,0,0,4,23,0,5.75,1,0,0,0,0,1,0.5,1,0,1.5
16,422,B Kumar,24,25,1,1,96,0,0,4,24,0,6.0,0,0,0,0,0,0,13.5,1,0,14.5
17,426,B Kumar,2,3,0,0,66,1,0,3,20,0,6.666666666666667,1,0,0,0,0,1,0.0,0,4,4.0
18,437,B Kumar,1,3,0,0,33,0,0,4,27,3,6.75,1,0,2,0,0,3,-2.5,30,0,27.5
19,439,B Kumar,2,2,0,0,100,0,0,2,12,0,6.0,3,0,0,0,0,3,1.0,1,0,2.0
20,466,B Kumar,1,3,0,0,33,0,0,4,19,3,4.75,0,0,0,0,0,0,-2.5,32,0,29.5
21,487,B Kumar,0,1,0,0,0,0,0,4,14,4,3.5,2,0,0,0,0,2,-3.0,47,0,44.0
22,541,B Kumar,6,4,1,0,150,2,0,4,27,3,6.75,4,0,1,0,0,5,3.5,30,8,41.5
23,555,B Kumar,11,4,1,1,275,0,0,4,42,2,10.5,0,0,0,0,0,0,7.0,18,0,25.0
24,572,B Kumar,0,2,0,0,0,0,0,3,16,0,5.333333333333333,1,0,0,0,0,1,-3.0,1,0,-2.0
25,584,B Kumar,0,1,0,0,0,0,0,4,29,0,7.25,1,0,0,0,0,1,-3.0,0,0,-3.0
26,598,B Kumar,21,9,3,1,233,0,0,3,17,1,5.666666666666667,3,0,0,0,0,3,13.0,11,0,24.0
27,616,B Kumar,1,2,0,0,50,0,0,4,21,1,5.25,1,0,1,0,0,2,-2.5,11,0,8.5
28,618,B Kumar,1,2,0,0,50,0,0,4,32,0,8.0,2,0,0,0,0,2,-2.5,0,0,-2.5
29,628,B Kumar,13,7,2,0,185,0,1,4,37,0,9.25,7,0,4,0,0,11,7.5,-1,4,10.5
30,631,B Kumar,5,4,1,0,125,0,0,4,31,2,7.75,0,0,0,0,0,0,3.0,20,0,23.0
31,634,B Kumar,1,2,0,0,50,1,0,4,20,3,5.0,0,0,1,0,0,1,-2.5,32,4,33.5
32,636,B Kumar,1,1,0,0,100,0,0,4,29,1,7.25,1,0,4,0,0,5,0.5,10,0,10.5
