Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,2,BA Stokes,21,15,3,0,140,0,0,4,36,1,9.0,2,0,0,0,0,2,12.0,9,0,21.0
1,4,BA Stokes,50,34,2,3,147,1,0,4,32,0,8.0,1,0,0,0,0,1,33.0,0,4,37.0
2,9,BA Stokes,2,5,0,0,40,0,0,4,41,1,10.25,0,0,0,0,0,0,-2.0,8,0,6.0
3,13,BA Stokes,25,18,2,1,138,0,0,3,18,0,6.0,1,0,0,0,0,1,14.5,1,0,15.5
4,17,BA Stokes,2,3,0,0,66,0,0,4,20,3,5.0,1,1,1,0,0,3,0.0,32,0,32.0
5,25,BA Stokes,10,9,1,0,111,0,0,2,19,0,9.5,0,0,0,0,0,0,5.5,-1,0,4.5
6,28,BA Stokes,17,12,2,0,141,1,0,4,23,2,5.75,1,0,2,0,0,3,9.5,21,4,34.5
7,38,BA Stokes,103,64,7,6,160,0,0,4,37,0,9.25,0,0,1,0,0,1,69.0,-1,0,68.0
8,40,BA Stokes,14,15,1,0,93,0,0,4,28,1,7.0,0,0,4,0,0,4,7.5,10,0,17.5
9,43,BA Stokes,39,26,1,3,150,2,0,4,30,3,7.5,1,0,0,0,0,1,23.0,30,8,61.0
10,51,BA Stokes,33,26,3,2,126,1,1,4,33,2,8.25,3,0,2,0,0,5,20.0,20,8,48.0
