Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,3,BB McCullum,35,24,4,2,145,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,21.5
1,6,BB McCullum,5,10,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,4,3.5
2,13,BB McCullum,49,33,5,3,148,1,0,0,0,0,0,0,0,0,0,0,0,30.0,0,4,34.0
3,16,BB McCullum,64,44,6,3,145,1,0,0,0,0,0,0,0,0,0,0,0,42.0,0,4,46.0
4,20,BB McCullum,72,48,2,7,150,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0,0,48.0
5,23,BB McCullum,33,17,5,1,194,1,1,0,0,0,0,0,0,0,0,0,0,20.0,0,8,28.0
6,26,BB McCullum,6,6,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,3.5,0,4,7.5
7,30,BB McCullum,3,6,0,0,50,1,1,0,0,0,0,0,0,0,0,0,0,-1.5,0,8,6.5
8,34,BB McCullum,7,8,1,0,87,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0,4,8.0
9,38,BB McCullum,45,28,5,2,160,1,0,0,0,0,0,0,0,0,0,0,0,27.0,0,4,31.0
10,41,BB McCullum,1,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
11,60,BB McCullum,158,77,10,13,205,1,0,0,0,0,0,0,0,0,0,0,0,105.0,0,4,109.0
12,64,BB McCullum,5,5,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,3.0
13,71,BB McCullum,24,12,2,2,200,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,15.0
14,75,BB McCullum,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
15,121,BB McCullum,1,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
16,123,BB McCullum,21,17,1,2,123,2,0,0,0,0,0,0,0,0,0,0,0,13.0,0,8,21.0
17,126,BB McCullum,4,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,-1.0
18,132,BB McCullum,1,6,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
19,134,BB McCullum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
20,138,BB McCullum,5,7,0,0,71,2,0,0,0,0,0,0,0,0,0,0,0,2.5,0,8,10.5
21,142,BB McCullum,19,33,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,8.0
22,146,BB McCullum,35,32,1,3,109,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,21.0
23,154,BB McCullum,6,4,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
24,156,BB McCullum,84,64,10,2,131,1,0,0,0,0,0,0,0,0,0,0,0,53.0,0,4,57.0
25,163,BB McCullum,20,19,1,1,105,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,11.5
26,166,BB McCullum,81,48,11,3,168,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0,0,53.0
27,168,BB McCullum,9,4,2,0,225,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
