Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,4,DA Miller,30,27,1,2,111,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,17.5
1,11,DA Miller,28,20,2,2,140,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,17.0
2,15,DA Miller,24,29,1,0,82,1,0,0,0,0,0,0,0,0,0,0,0,12.5,0,4,16.5
3,19,DA Miller,1,6,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
4,333,DA Miller,8,14,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0
5,336,DA Miller,5,5,0,0,100,1,1,0,0,0,0,0,0,0,0,0,0,2.5,0,8,10.5
6,340,DA Miller,34,17,1,3,200,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,20.5
7,343,DA Miller,19,15,2,0,126,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,10.5
8,359,DA Miller,28,18,3,1,155,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,16.5
9,369,DA Miller,4,7,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
10,400,DA Miller,20,17,1,0,117,1,0,0,0,0,0,0,0,0,0,0,0,10.5,0,4,14.5
11,409,DA Miller,80,42,5,5,190,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,51.5
12,412,DA Miller,44,24,3,4,183,1,0,0,0,0,0,0,0,0,0,0,0,27.5,0,4,31.5
13,415,DA Miller,10,8,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
14,421,DA Miller,56,35,1,5,160,1,0,0,0,0,0,0,0,0,0,0,0,37.5,0,4,41.5
15,425,DA Miller,51,26,5,2,196,1,0,0,0,0,0,0,0,0,0,0,0,34.0,0,4,38.0
16,429,DA Miller,2,4,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,4,2.0
17,436,DA Miller,8,11,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
18,440,DA Miller,6,7,1,0,85,1,0,0,0,0,0,0,0,0,0,0,0,3.5,0,4,7.5
19,443,DA Miller,34,39,3,0,87,1,0,0,0,0,0,0,0,0,0,0,0,18.5,0,4,22.5
20,448,DA Miller,101,39,8,7,258,0,0,0,0,0,0,0,0,0,0,0,0,69.5,0,0,69.5
21,450,DA Miller,6,5,1,0,120,1,0,0,0,0,0,0,0,0,0,0,0,3.5,0,4,7.5
22,460,DA Miller,54,37,3,3,145,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,0,35.5
23,464,DA Miller,51,20,0,6,254,1,0,0,0,0,0,0,0,0,0,0,0,35.5,0,4,39.5
24,466,DA Miller,10,10,0,1,100,2,0,0,0,0,0,0,0,0,0,0,0,6.0,0,8,14.0
25,472,DA Miller,14,10,2,0,140,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,8.0
26,475,DA Miller,26,22,4,0,118,1,0,0,0,0,0,0,0,0,0,0,0,15.0,0,4,19.0
27,479,DA Miller,16,12,1,1,133,1,0,0,0,0,0,0,0,0,0,0,0,9.5,0,4,13.5
28,486,DA Miller,47,33,5,2,142,1,0,0,0,0,0,0,0,0,0,0,0,28.0,0,4,32.0
29,488,DA Miller,66,30,8,3,220,1,0,0,0,0,0,0,0,0,0,0,0,44.0,0,4,48.0
30,491,DA Miller,13,14,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,7.0
31,496,DA Miller,24,24,1,0,100,2,0,0,0,0,0,0,0,0,0,0,0,12.5,0,8,20.5
32,502,DA Miller,2,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,0,-2.0
33,509,DA Miller,29,20,0,2,145,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,16.5
34,512,DA Miller,47,37,4,2,127,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,27.5
35,514,DA Miller,8,12,0,0,66,3,0,0,0,0,0,0,0,0,0,0,0,3.0,0,12,15.0
36,516,DA Miller,38,19,5,1,200,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,22.5
37,517,DA Miller,1,1,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8,8.5
