Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,15,EJG Morgan,22,20,3,0,110,3,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12,24.5
1,19,EJG Morgan,13,17,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5
2,32,EJG Morgan,26,21,2,1,123,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,15.0
3,54,EJG Morgan,4,4,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
4,178,EJG Morgan,10,7,0,1,142,1,0,0,0,0,0,0,0,0,0,0,0,6.0,0,4,10.0
5,188,EJG Morgan,7,6,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,3.5
6,192,EJG Morgan,1,4,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
7,197,EJG Morgan,17,14,2,0,121,0,1,0,0,0,0,0,0,0,0,0,0,9.5,0,4,13.5
8,235,EJG Morgan,6,6,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,3.5
9,255,EJG Morgan,10,12,1,0,83,1,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4,9.5
10,258,EJG Morgan,6,6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,3.0
11,266,EJG Morgan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
12,270,EJG Morgan,28,15,6,0,186,0,1,0,0,0,0,0,0,0,0,0,0,17.0,0,4,21.0
13,275,EJG Morgan,14,18,0,1,77,1,0,0,0,0,0,0,0,0,0,0,0,8.0,0,4,12.0
14,278,EJG Morgan,66,52,8,2,126,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0,0,43.0
15,281,EJG Morgan,5,8,1,0,62,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0,4,6.0
16,291,EJG Morgan,2,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,0,-2.0
17,382,EJG Morgan,14,16,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5
18,389,EJG Morgan,51,39,3,3,130,1,0,0,0,0,0,0,0,0,0,0,0,34.0,0,4,38.0
19,392,EJG Morgan,2,5,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,4,2.0
20,397,EJG Morgan,47,24,5,3,195,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,29.0
21,400,EJG Morgan,47,39,6,0,120,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,26.5
22,406,EJG Morgan,2,7,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,-2.0,0,4,2.0
23,413,EJG Morgan,31,25,4,1,124,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,18.5
24,415,EJG Morgan,42,27,3,4,155,2,0,0,0,0,0,0,0,0,0,0,0,26.5,0,8,34.5
25,418,EJG Morgan,32,25,2,2,128,1,0,0,0,0,0,0,0,0,0,0,0,19.0,0,4,23.0
26,424,EJG Morgan,10,9,2,0,111,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
27,434,EJG Morgan,5,10,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,4,3.5
28,437,EJG Morgan,15,15,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,8.0
29,453,EJG Morgan,9,9,1,0,100,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0,4,9.0
30,529,EJG Morgan,27,30,2,1,90,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,15.5
31,531,EJG Morgan,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
32,551,EJG Morgan,32,27,1,2,118,1,0,0,0,0,0,0,0,0,0,0,0,18.5,0,4,22.5
33,555,EJG Morgan,5,11,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,8,7.5
34,558,EJG Morgan,63,30,4,5,210,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,42.5
35,561,EJG Morgan,22,25,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,12.0
36,564,EJG Morgan,17,7,1,2,242,1,0,0,0,0,0,0,0,0,0,0,0,11.0,0,4,15.0
37,568,EJG Morgan,11,7,0,1,157,1,0,0,0,0,0,0,0,0,0,0,0,6.5,0,4,10.5
38,572,EJG Morgan,9,15,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
39,580,EJG Morgan,22,18,2,0,122,1,0,0,0,0,0,0,0,0,0,0,0,12.0,0,4,16.0
40,584,EJG Morgan,51,43,3,2,118,0,0,0,0,0,0,0,0,0,0,0,0,33.0,0,0,33.0
41,588,EJG Morgan,11,12,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
42,594,EJG Morgan,25,20,2,1,125,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,14.5
43,598,EJG Morgan,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
44,628,EJG Morgan,14,10,0,1,140,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,8.0
