Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,4,GJ Maxwell,44,23,3,4,191,1,0,0,0,0,0.0,0,0,0,0,0,0,27.5,0,4,31.5
1,8,GJ Maxwell,43,22,3,4,195,1,0,0,0,0,0.0,0,0,0,0,0,0,27.0,0,4,31.0
2,11,GJ Maxwell,25,14,3,1,178,0,0,1,18,0,18.0,0,0,0,0,0,0,15.0,-3,0,12.0
3,15,GJ Maxwell,0,2,0,0,0,0,0,1,7,0,7.0,0,0,0,0,0,0,-3.0,0,0,-3.0
4,19,GJ Maxwell,10,12,2,0,83,0,0,0,0,0,0.0,0,0,0,0,0,0,6.0,0,0,6.0
5,22,GJ Maxwell,40,18,4,3,222,2,0,0,0,0,0.0,0,0,0,0,0,0,25.0,0,8,33.0
6,26,GJ Maxwell,31,18,1,3,172,1,0,0,0,0,0.0,0,0,0,0,0,0,19.0,0,4,23.0
7,32,GJ Maxwell,0,2,0,0,0,1,0,4,29,2,7.25,0,0,0,0,0,0,-3.0,20,4,21.0
8,42,GJ Maxwell,6,11,1,0,54,0,0,3,15,2,5.0,1,0,0,0,0,1,1.5,22,0,23.5
9,46,GJ Maxwell,20,11,0,2,181,0,0,2,21,1,10.5,0,0,0,0,0,0,12.0,8,0,20.0
10,48,GJ Maxwell,44,27,1,4,162,1,0,0,0,0,0.0,0,0,0,0,0,0,26.5,0,4,30.5
11,50,GJ Maxwell,47,22,2,5,213,0,0,2,9,1,4.5,0,0,1,0,0,1,29.5,12,0,41.5
12,54,GJ Maxwell,0,4,0,0,0,0,0,2,15,0,7.5,0,0,0,0,0,0,-3.0,0,0,-3.0
13,309,GJ Maxwell,3,7,0,0,42,0,0,1,12,0,12.0,1,0,0,0,0,1,-1.5,-3,0,-4.5
14,312,GJ Maxwell,3,4,0,0,75,0,0,2,10,2,5.0,0,0,0,0,0,0,1.5,22,0,23.5
15,439,GJ Maxwell,13,7,1,1,185,0,0,1,6,0,6.0,0,0,1,0,0,1,8.0,1,0,9.0
16,447,GJ Maxwell,23,17,0,3,135,1,0,0,0,0,0.0,0,0,0,0,0,0,14.5,0,4,18.5
17,450,GJ Maxwell,0,3,0,0,0,0,1,1,18,0,18.0,0,0,0,0,0,0,-3.0,-3,4,-2.0
18,460,GJ Maxwell,95,48,15,2,197,1,0,2,23,0,11.5,0,0,0,0,0,0,61.0,-3,4,62.0
19,464,GJ Maxwell,89,47,8,6,189,0,0,0,0,0,0.0,0,0,0,0,0,0,58.5,0,0,58.5
20,466,GJ Maxwell,95,44,5,9,215,1,0,1,10,0,10.0,0,0,0,0,0,0,63.0,-1,4,66.0
21,472,GJ Maxwell,15,13,2,0,115,1,0,0,0,0,0.0,0,0,0,0,0,0,8.5,0,4,12.5
22,475,GJ Maxwell,6,6,0,0,100,1,0,3,40,0,13.333333333333334,0,0,1,0,0,1,3.0,-3,4,4.0
23,479,GJ Maxwell,45,29,5,2,155,0,0,0,0,0,0.0,0,0,0,0,0,0,27.0,0,0,27.0
24,486,GJ Maxwell,90,40,6,8,225,0,0,2,21,1,10.5,1,0,0,0,0,1,60.0,8,0,68.0
25,488,GJ Maxwell,25,12,2,2,208,0,0,1,24,0,24.0,3,0,0,0,0,3,15.5,-3,0,12.5
26,491,GJ Maxwell,14,14,1,0,100,0,0,1,11,0,11.0,1,0,0,0,0,1,7.5,-2,0,5.5
27,496,GJ Maxwell,43,22,2,5,195,0,0,0,0,0,0.0,0,0,0,0,0,0,27.5,0,0,27.5
28,502,GJ Maxwell,14,13,0,1,107,3,0,0,0,0,0.0,0,0,0,0,0,0,8.0,0,12,20.0
29,505,GJ Maxwell,2,3,0,0,66,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
30,512,GJ Maxwell,0,3,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
31,514,GJ Maxwell,6,9,1,0,66,0,0,0,0,0,0.0,0,0,0,0,0,0,2.5,0,0,2.5
32,516,GJ Maxwell,13,8,1,1,162,0,1,1,4,0,4.0,0,0,0,0,0,0,8.0,3,4,15.0
33,517,GJ Maxwell,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
34,520,GJ Maxwell,7,5,1,0,140,0,0,0,0,0,0.0,0,0,0,0,0,0,4.0,0,0,4.0
35,524,GJ Maxwell,6,4,1,0,150,0,0,0,0,0,0.0,0,0,0,0,0,0,3.5,0,0,3.5
36,528,GJ Maxwell,15,5,0,2,300,0,0,1,10,0,10.0,0,0,0,0,0,0,9.5,-1,0,8.5
37,532,GJ Maxwell,33,28,2,2,117,0,0,0,0,0,0.0,0,0,0,0,0,0,19.5,0,0,19.5
38,536,GJ Maxwell,2,7,0,0,28,2,0,1,15,0,15.0,0,0,0,0,0,0,-2.0,-3,8,3.0
39,552,GJ Maxwell,12,9,2,0,133,0,0,1,8,0,8.0,0,0,0,0,0,0,7.0,0,0,7.0
40,557,GJ Maxwell,1,5,0,0,20,0,0,2,23,0,11.5,1,0,0,0,0,1,-2.5,-3,0,-5.5
41,560,GJ Maxwell,43,22,4,3,195,0,0,1,5,1,5.0,0,0,0,0,0,0,26.5,12,0,38.5
42,564,GJ Maxwell,11,6,1,1,183,0,0,3,28,1,9.333333333333334,1,0,0,0,0,1,7.0,9,0,16.0
43,566,GJ Maxwell,10,10,1,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,5.5,0,0,5.5
44,569,GJ Maxwell,6,14,1,0,42,0,0,1,8,0,8.0,2,0,0,0,0,2,0.5,0,0,0.5
45,579,GJ Maxwell,2,4,0,0,50,0,0,0,0,0,0.0,0,0,0,0,0,0,-2.0,0,0,-2.0
46,583,GJ Maxwell,0,3,0,0,0,0,0,1,11,0,11.0,2,0,0,0,0,2,-3.0,-2,0,-5.0
47,586,GJ Maxwell,32,14,3,2,228,1,1,1,3,0,3.0,0,0,0,0,0,0,19.5,3,8,30.5
48,589,GJ Maxwell,4,9,0,0,44,1,0,2,18,0,9.0,0,0,1,0,0,1,-1.0,-1,4,2.0
49,594,GJ Maxwell,1,2,0,0,50,0,0,2,16,0,8.0,0,0,0,0,0,0,-2.5,0,0,-2.5
50,597,GJ Maxwell,56,39,5,1,143,0,0,1,11,0,11.0,0,0,0,0,0,0,35.5,-2,0,33.5
51,604,GJ Maxwell,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
52,608,GJ Maxwell,68,43,6,4,158,0,1,1,11,0,11.0,0,0,0,0,0,0,45.0,-2,4,47.0
53,612,GJ Maxwell,16,12,0,1,133,1,0,0,0,0,0.0,0,0,0,0,0,0,9.0,0,4,13.0
54,619,GJ Maxwell,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,0,-3.0
