Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,4,HM Amla,28,27,2,1,103,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,16.0
1,8,HM Amla,58,39,4,3,148,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,38.0
2,11,HM Amla,25,28,4,0,89,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,14.5
3,15,HM Amla,19,12,4,0,158,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,11.5
4,19,HM Amla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
5,22,HM Amla,104,63,8,6,165,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,70.0
6,26,HM Amla,65,40,9,2,162,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0,0,43.0
7,35,HM Amla,16,22,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,8.5
8,42,HM Amla,1,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
9,46,HM Amla,104,61,8,5,170,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,69.0
10,612,HM Amla,1,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
11,615,HM Amla,21,20,2,0,105,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,11.5
12,619,HM Amla,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
13,622,HM Amla,96,56,14,2,171,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0,0,61.0
14,626,HM Amla,9,6,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
15,629,HM Amla,30,30,4,1,100,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,18.0
