Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,2,KA Pollard,27,17,3,1,158,0,0,2,30,0,15.0,1,0,0,0,0,1,16.0,-3,0,13.0
1,7,KA Pollard,17,17,1,1,100,2,0,0,0,0,0.0,0,0,0,0,0,0,10.0,0,8,18.0
2,10,KA Pollard,11,11,0,1,100,2,0,0,0,0,0.0,0,0,0,0,0,0,6.5,0,8,14.5
3,12,KA Pollard,70,49,3,5,142,0,0,0,0,0,0.0,0,0,0,0,0,0,45.5,0,0,45.5
4,16,KA Pollard,39,24,2,3,162,0,0,0,0,0,0.0,0,0,0,0,0,0,23.5,0,0,23.5
5,24,KA Pollard,26,31,4,0,83,0,0,0,0,0,0.0,0,0,0,0,0,0,15.0,0,0,15.0
6,28,KA Pollard,9,9,1,0,100,1,0,0,0,0,0.0,0,0,0,0,0,0,5.0,0,4,9.0
7,34,KA Pollard,25,14,3,1,178,2,0,0,0,0,0.0,0,0,0,0,0,0,15.0,0,8,23.0
8,37,KA Pollard,17,13,2,0,130,2,0,0,0,0,0.0,0,0,0,0,0,0,9.5,0,8,17.5
9,44,KA Pollard,63,38,5,4,165,1,0,0,0,0,0.0,0,0,0,0,0,0,42.0,0,4,46.0
10,47,KA Pollard,5,11,0,0,45,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.5,0,0,-0.5
11,50,KA Pollard,50,26,1,5,192,0,0,0,0,0,0.0,0,0,0,0,0,0,34.5,0,0,34.5
12,53,KA Pollard,13,11,0,1,118,0,0,0,0,0,0.0,0,0,0,0,0,0,7.5,0,0,7.5
13,56,KA Pollard,7,10,1,0,70,0,0,0,0,0,0.0,0,0,0,0,0,0,3.0,0,0,3.0
14,58,KA Pollard,9,10,1,0,90,1,0,0,0,0,0.0,0,0,0,0,0,0,5.0,0,4,9.0
15,59,KA Pollard,7,3,0,1,233,2,0,0,0,0,0.0,0,0,0,0,0,0,4.5,0,8,12.5
