Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,5,KK Nair,4,3,1,0,133,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
1,15,KK Nair,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
2,18,KK Nair,21,27,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,11.0
3,21,KK Nair,33,24,5,1,137,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,20.0
4,24,KK Nair,5,15,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,-0.5,0,4,3.5
5,31,KK Nair,15,18,3,0,83,0,1,0,0,0,0,0,0,0,0,0,0,9.0,0,4,13.0
6,35,KK Nair,11,10,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5
7,39,KK Nair,39,20,5,2,195,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,24.0
8,41,KK Nair,12,12,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,7.0
9,44,KK Nair,21,15,3,1,140,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,13.0
10,49,KK Nair,30,15,5,1,200,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,18.5
11,51,KK Nair,64,45,9,0,142,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,40.5
12,55,KK Nair,26,22,5,0,118,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,15.5
13,383,KK Nair,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
14,388,KK Nair,9,9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4.5
15,471,KK Nair,8,12,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,3.0
16,476,KK Nair,1,6,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
17,480,KK Nair,73,51,8,2,143,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,46.5
18,482,KK Nair,44,36,4,1,122,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,25.0
19,487,KK Nair,12,9,3,0,133,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5
20,492,KK Nair,56,39,8,0,143,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,36.0
21,494,KK Nair,8,11,1,0,72,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4,8.5
22,498,KK Nair,19,14,1,1,135,1,0,0,0,0,0,0,0,0,0,0,0,11.0,0,4,15.0
23,501,KK Nair,48,26,4,3,184,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,29.0
24,509,KK Nair,11,6,2,0,183,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5
25,513,KK Nair,50,27,7,2,185,1,1,0,0,0,0,0,0,0,0,0,0,34.5,0,8,42.5
26,520,KK Nair,8,11,0,1,72,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0,4,9.0
27,523,KK Nair,20,12,3,0,166,1,0,0,0,0,0,0,0,0,0,0,0,11.5,0,4,15.5
28,529,KK Nair,1,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
29,533,KK Nair,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
30,536,KK Nair,25,14,2,1,178,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,14.5
31,540,KK Nair,16,14,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,9.0
32,549,KK Nair,7,6,1,0,116,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
33,553,KK Nair,61,38,6,2,160,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,39.5
34,558,KK Nair,4,11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,-1.0
35,563,KK Nair,10,12,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
36,570,KK Nair,16,10,3,0,160,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,9.5
37,574,KK Nair,12,13,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,7.0
38,578,KK Nair,3,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,-1.5
39,587,KK Nair,54,44,6,1,122,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,35.0
40,593,KK Nair,5,5,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,3.0
41,599,KK Nair,9,7,1,0,128,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0,4,9.0
42,602,KK Nair,68,51,9,1,133,1,0,0,0,0,0,0,0,0,0,0,0,43.5,0,4,47.5
43,609,KK Nair,32,23,5,0,139,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,18.5
44,612,KK Nair,23,26,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,12.0
45,618,KK Nair,20,17,3,0,117,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,11.5
46,623,KK Nair,8,8,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4,8.5
47,625,KK Nair,41,43,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0,23.0
48,628,KK Nair,83,61,8,3,136,0,1,0,0,0,0,0,0,0,0,0,0,52.5,0,4,56.5
49,632,KK Nair,11,10,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5
