Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,1,MC Henriques,52,37,3,2,140,2,0,2,20,1,10.0,0,0,0,1,0,1,33.5,9,8,50.5
1,6,MC Henriques,52,40,6,0,130,0,0,1,12,0,12.0,0,0,0,0,0,0,33.0,-3,0,30.0
2,14,MC Henriques,13,10,2,0,130,0,0,2,26,0,13.0,5,0,0,0,0,5,7.5,-3,0,4.5
3,19,MC Henriques,9,16,0,0,56,0,0,2,6,1,3.0,0,0,0,0,0,0,2.5,13,0,15.5
4,21,MC Henriques,12,6,2,0,200,1,0,3,32,0,10.666666666666666,1,0,0,0,0,1,7.0,-2,4,9.0
5,25,MC Henriques,55,29,6,2,189,0,0,1,4,0,4.0,0,0,0,0,0,0,36.5,3,0,39.5
6,32,MC Henriques,7,6,0,0,116,1,0,3,39,0,13.0,0,0,0,0,0,0,3.5,-3,4,4.5
7,39,MC Henriques,25,18,2,0,138,0,0,3,36,0,12.0,1,0,0,0,0,1,13.5,-3,0,10.5
8,43,MC Henriques,4,6,0,0,66,0,0,3,15,0,5.0,0,0,0,0,0,0,1.0,2,0,3.0
9,47,MC Henriques,44,35,6,0,125,1,0,1,15,0,15.0,0,0,0,0,0,0,25.0,-3,4,26.0
10,52,MC Henriques,4,2,1,0,200,0,0,1,12,0,12.0,0,0,0,0,0,0,2.5,-3,0,-0.5
11,121,MC Henriques,6,8,0,0,75,1,0,1,4,0,4.0,0,0,0,0,0,0,3.0,3,4,10.0
12,146,MC Henriques,30,24,2,1,125,1,0,4,36,0,9.0,0,0,0,0,0,0,17.0,-1,4,20.0
13,154,MC Henriques,2,8,0,0,25,1,0,4,35,1,8.75,2,0,0,0,0,2,-2.0,10,4,12.0
14,189,MC Henriques,11,5,2,0,220,1,0,4,35,1,8.75,0,0,0,0,0,0,6.5,10,4,20.5
15,388,MC Henriques,44,40,5,0,110,1,0,3,15,2,5.0,1,0,1,0,0,2,24.5,22,4,50.5
16,420,MC Henriques,22,19,2,1,115,0,0,2,7,1,3.5,1,0,1,0,0,2,13.0,13,0,26.0
17,426,MC Henriques,27,13,4,1,207,0,0,4,44,2,11.0,0,0,0,0,0,0,16.5,18,0,34.5
18,429,MC Henriques,0,1,0,0,0,0,0,3,29,0,9.666666666666666,1,0,0,0,0,1,-3.0,-1,0,-4.0
19,432,MC Henriques,7,9,1,0,77,0,0,1,18,0,18.0,0,0,0,0,0,0,4.0,-3,0,1.0
20,438,MC Henriques,26,23,3,0,113,0,0,2,21,1,10.5,0,0,0,0,0,0,14.5,8,0,22.5
21,441,MC Henriques,11,11,0,0,100,2,0,0,0,0,0.0,0,0,0,0,0,0,5.5,0,8,13.5
22,448,MC Henriques,16,7,2,1,228,1,0,3,29,0,9.666666666666666,1,0,0,0,0,1,10.0,-1,4,13.0
23,452,MC Henriques,12,4,3,0,300,0,0,0,0,0,0.0,0,0,0,0,0,0,7.5,0,0,7.5
24,487,MC Henriques,9,13,1,0,69,0,0,2,11,1,5.5,0,0,0,0,0,0,4.0,11,0,15.0
25,496,MC Henriques,0,1,0,0,0,0,0,2,36,0,18.0,0,0,0,0,0,0,-3.0,-3,0,-6.0
26,537,MC Henriques,7,5,1,0,140,0,0,1,9,1,9.0,1,0,0,0,0,1,4.0,9,0,13.0
27,544,MC Henriques,30,32,1,0,93,0,0,4,31,1,7.75,0,0,1,0,0,1,15.5,10,0,25.5
28,551,MC Henriques,19,9,1,2,211,0,0,4,20,2,5.0,1,0,0,0,0,1,12.0,22,0,34.0
29,555,MC Henriques,41,33,2,2,124,1,0,3,25,1,8.333333333333334,0,0,5,0,0,5,23.5,10,4,37.5
30,558,MC Henriques,20,21,3,0,95,0,0,3,29,1,9.666666666666666,1,0,0,0,0,1,11.5,9,0,20.5
31,561,MC Henriques,74,48,1,5,154,0,0,2,14,0,7.0,0,0,0,0,0,0,46.5,0,0,46.5
32,564,MC Henriques,28,24,4,0,116,0,0,4,16,3,4.0,2,0,0,0,0,2,16.0,33,0,49.0
33,568,MC Henriques,57,24,5,4,237,0,0,1,3,2,3.0,1,0,0,0,0,1,39.0,23,0,62.0
34,572,MC Henriques,11,20,1,0,55,0,0,3,17,0,5.666666666666667,1,0,0,0,0,1,4.0,1,0,5.0
35,580,MC Henriques,19,24,2,0,79,0,0,4,41,0,10.25,0,0,0,0,0,0,10.5,-2,0,8.5
36,584,MC Henriques,6,10,1,0,60,0,0,2,19,0,9.5,1,0,0,0,0,1,2.5,-1,0,1.5
37,588,MC Henriques,20,22,1,1,90,1,1,4,23,0,5.75,1,0,0,0,0,1,11.5,1,8,20.5
38,594,MC Henriques,5,4,1,0,125,1,0,4,33,2,8.25,1,0,0,0,0,1,3.0,20,4,27.0
39,598,MC Henriques,1,4,0,0,25,0,0,2,16,1,8.0,0,0,0,0,0,0,-2.5,10,0,7.5
40,603,MC Henriques,31,14,1,3,221,1,0,4,40,2,10.0,0,0,0,0,0,0,19.0,19,4,42.0
41,610,MC Henriques,14,17,2,0,82,0,0,3,24,1,8.0,2,0,0,0,0,2,8.0,10,0,18.0
42,613,MC Henriques,1,2,0,0,50,1,0,4,20,1,5.0,0,0,2,0,0,2,-2.5,12,4,13.5
43,616,MC Henriques,10,8,1,0,125,1,0,3,20,1,6.666666666666667,0,0,0,0,0,0,5.5,10,4,19.5
44,618,MC Henriques,0,1,0,0,0,0,0,3,19,2,6.333333333333333,0,0,0,0,0,0,-3.0,20,0,17.0
45,628,MC Henriques,18,14,2,0,128,0,0,2,18,0,9.0,0,0,0,0,0,0,10.0,-1,0,9.0
46,631,MC Henriques,11,10,1,0,110,2,0,2,14,0,7.0,0,0,0,0,0,0,6.0,0,8,14.0
47,634,MC Henriques,31,21,1,2,147,1,0,3,17,3,5.666666666666667,0,0,0,0,0,0,18.0,31,4,53.0
48,635,MC Henriques,11,6,2,0,183,0,0,3,27,0,9.0,0,0,0,0,0,0,6.5,-1,0,5.5
49,636,MC Henriques,4,5,0,0,80,2,0,3,40,0,13.333333333333334,0,0,0,0,0,0,2.0,-3,8,7.0
