Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,2,MS Dhoni,12,12,1,0,100,1,1,0,0,0,0,0,0,0,0,0,0,6.5,0,8,14.5
1,4,MS Dhoni,5,13,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,-0.5
2,9,MS Dhoni,11,14,0,1,78,1,0,0,0,0,0,0,0,0,0,0,0,6.5,0,4,10.5
3,13,MS Dhoni,5,8,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5
4,17,MS Dhoni,28,26,3,1,107,1,0,0,0,0,0,0,0,0,0,0,0,16.5,0,4,20.5
5,25,MS Dhoni,61,35,5,3,174,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,0,40.0
6,28,MS Dhoni,7,11,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
7,29,MS Dhoni,23,11,1,2,209,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,14.0
8,33,MS Dhoni,21,17,1,1,123,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,12.0
9,38,MS Dhoni,26,35,1,1,74,0,1,0,0,0,0,0,0,0,0,0,0,14.5,0,4,18.5
10,40,MS Dhoni,5,9,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
11,43,MS Dhoni,31,23,2,2,134,1,0,0,0,0,0,0,0,0,0,0,0,18.5,0,4,22.5
12,51,MS Dhoni,5,5,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,2.5,0,8,10.5
13,56,MS Dhoni,40,29,0,5,137,1,0,0,0,0,0,0,0,0,0,0,0,25.0,0,4,29.0
14,59,MS Dhoni,10,13,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
15,61,MS Dhoni,2,3,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
16,67,MS Dhoni,30,17,4,1,176,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,18.0
17,71,MS Dhoni,43,27,3,2,159,0,1,0,0,0,0,0,0,0,0,0,0,25.0,0,4,29.0
18,74,MS Dhoni,65,31,9,3,209,1,0,0,0,0,0,0,0,0,0,0,0,44.0,0,4,48.0
19,79,MS Dhoni,32,28,2,1,114,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,18.0
20,83,MS Dhoni,1,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
21,85,MS Dhoni,23,32,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5
22,87,MS Dhoni,33,33,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,18.0
23,91,MS Dhoni,60,44,2,4,136,2,0,0,0,0,0,0,0,0,0,0,0,39.0,0,8,47.0
24,96,MS Dhoni,43,37,6,1,116,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,25.5
25,107,MS Dhoni,4,8,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,4,3.0
26,110,MS Dhoni,12,8,2,0,150,1,1,0,0,0,0,0,0,0,0,0,0,7.0,0,8,15.0
27,114,MS Dhoni,37,27,4,1,137,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,21.5
28,117,MS Dhoni,29,17,1,2,170,1,0,0,0,0,0,0,0,0,0,0,0,17.0,0,4,21.0
29,118,MS Dhoni,36,26,1,2,138,1,0,0,0,0,0,0,0,0,0,0,0,20.5,0,4,24.5
30,122,MS Dhoni,16,15,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,9.0
