Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,1,Mandeep Singh,24,16,5,0,150,1,0,0,0,0,0,0,0,0,0,0,0,14.5,0,4,18.5
1,5,Mandeep Singh,12,10,3,0,120,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5
2,8,Mandeep Singh,28,34,1,1,82,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,15.5
3,12,Mandeep Singh,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
4,17,Mandeep Singh,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
5,27,Mandeep Singh,1,3,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
6,30,Mandeep Singh,8,14,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0
7,37,Mandeep Singh,17,13,3,0,130,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,10.0
8,42,Mandeep Singh,46,40,5,2,114,1,0,0,0,0,0,0,0,0,0,0,0,27.5,0,4,31.5
9,45,Mandeep Singh,52,44,4,1,118,0,0,0,0,0,0,0,0,0,0,0,0,33.0,0,0,33.0
10,196,Mandeep Singh,4,7,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
11,200,Mandeep Singh,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
12,284,Mandeep Singh,6,11,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0
13,287,Mandeep Singh,8,5,0,1,160,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0,4,9.0
14,290,Mandeep Singh,15,11,1,0,136,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,8.0
15,293,Mandeep Singh,11,7,2,0,157,1,0,0,0,0,0,0,0,0,0,0,0,6.5,0,4,10.5
16,300,Mandeep Singh,7,8,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0
17,311,Mandeep Singh,34,25,5,0,136,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,19.5
18,315,Mandeep Singh,24,24,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,13.5
19,321,Mandeep Singh,10,10,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4,9.5
20,325,Mandeep Singh,38,34,3,1,111,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,21.5
21,330,Mandeep Singh,6,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0
22,333,Mandeep Singh,20,15,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,10.0
23,336,Mandeep Singh,24,21,3,0,114,1,0,0,0,0,0,0,0,0,0,0,0,13.5,0,4,17.5
24,340,Mandeep Singh,22,16,4,0,137,1,0,0,0,0,0,0,0,0,0,0,0,13.0,0,4,17.0
25,343,Mandeep Singh,56,53,5,1,105,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,0,35.5
26,350,Mandeep Singh,43,31,6,1,138,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,25.5
27,354,Mandeep Singh,7,6,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4.5
28,359,Mandeep Singh,75,50,8,3,150,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,48.5
29,366,Mandeep Singh,28,20,5,0,140,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,16.5
30,369,Mandeep Singh,21,12,5,0,175,1,0,0,0,0,0,0,0,0,0,0,0,13.0,0,4,17.0
31,371,Mandeep Singh,24,21,5,0,114,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,14.5
32,374,Mandeep Singh,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
