Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,6,P Kumar,7,7,0,0,100,0,0,2,16,1,8.0,0,0,0,0,0,0,3.5,10,0,13.5
1,52,P Kumar,1,2,0,0,50,0,0,4,25,2,6.25,1,0,3,0,0,4,-2.5,20,0,17.5
2,60,P Kumar,18,17,1,2,105,1,0,4,41,0,10.25,1,0,3,0,0,4,11.5,-2,4,13.5
3,70,P Kumar,34,30,2,3,113,0,0,3,42,1,14.0,0,0,0,0,0,0,21.0,7,0,28.0
4,74,P Kumar,6,5,0,0,120,0,0,4,29,2,7.25,0,0,0,0,0,0,3.0,20,0,23.0
5,76,P Kumar,6,5,1,0,120,1,0,4,24,0,6.0,0,0,0,0,0,0,3.5,1,4,8.5
6,84,P Kumar,0,2,0,0,0,0,0,4,22,2,5.5,0,0,0,0,0,0,-3.0,21,0,18.0
7,88,P Kumar,4,2,1,0,200,0,0,3,37,1,12.333333333333334,0,0,1,0,0,1,2.5,7,0,9.5
8,90,P Kumar,8,11,1,0,72,0,0,2,21,0,10.5,6,0,0,0,0,6,4.5,-2,0,2.5
9,94,P Kumar,5,7,0,0,71,0,0,3,15,0,5.0,0,0,0,0,0,0,2.5,2,0,4.5
10,101,P Kumar,0,1,0,0,0,0,0,4,31,0,7.75,5,0,3,0,0,8,-3.0,0,0,-3.0
11,104,P Kumar,2,5,0,0,40,0,0,2,34,1,17.0,0,0,1,0,0,1,-2.0,7,0,5.0
12,107,P Kumar,21,11,2,1,190,0,0,4,27,1,6.75,1,0,1,0,0,2,12.5,10,0,22.5
13,111,P Kumar,8,4,2,0,200,0,0,4,24,3,6.0,0,0,1,0,0,1,5.0,31,0,36.0
14,119,P Kumar,8,10,0,1,80,0,0,3,7,2,2.3333333333333335,2,0,0,1,0,3,5.0,23,0,28.0
15,122,P Kumar,0,3,0,0,0,0,0,4,38,2,9.5,0,0,1,0,0,1,-3.0,19,0,16.0
16,124,P Kumar,14,6,0,2,233,1,0,4,41,1,10.25,0,0,4,0,0,4,9.0,8,4,21.0
17,127,P Kumar,13,7,0,1,185,0,0,4,37,0,9.25,1,0,1,0,0,2,7.5,-1,0,6.5
18,139,P Kumar,9,7,1,0,128,0,0,4,27,2,6.75,2,0,0,0,0,2,5.0,20,0,25.0
19,148,P Kumar,7,4,0,1,175,0,0,4,31,0,7.75,1,0,0,0,0,1,4.5,0,0,4.5
20,159,P Kumar,12,6,0,1,200,0,1,4,35,3,8.75,0,0,0,0,0,0,7.0,30,4,41.0
21,174,P Kumar,2,3,0,0,66,0,0,4,43,0,10.75,5,0,0,0,0,5,0.0,-2,0,-2.0
22,178,P Kumar,3,5,0,0,60,0,0,4,16,1,4.0,0,0,0,0,0,0,0.5,13,0,13.5
23,197,P Kumar,0,1,0,0,0,0,0,4,46,1,11.5,3,0,1,0,0,4,-3.0,7,0,4.0
24,231,P Kumar,1,2,0,0,50,1,0,3,29,0,9.666666666666666,5,0,0,0,0,5,-2.5,-1,4,0.5
25,239,P Kumar,3,6,0,0,50,0,0,3,28,1,9.333333333333334,1,0,0,0,0,1,-1.5,9,0,7.5
26,270,P Kumar,2,2,0,0,100,0,0,2,14,0,7.0,0,0,0,0,0,0,1.0,0,0,1.0
27,273,P Kumar,2,3,0,0,66,0,0,3,30,0,10.0,0,2,0,0,0,2,0.0,-1,0,-1.0
28,280,P Kumar,15,8,2,1,187,1,0,4,37,0,9.25,0,0,0,0,0,0,9.5,-1,4,12.5
29,284,P Kumar,3,5,0,0,60,0,0,4,18,1,4.5,0,0,1,0,0,1,0.5,12,0,12.5
30,287,P Kumar,2,2,0,0,100,1,0,4,19,2,4.75,0,0,0,0,0,0,1.0,22,4,27.0
31,300,P Kumar,0,7,0,0,0,0,0,3,26,0,8.666666666666666,1,0,0,0,0,1,-3.0,0,0,-3.0
32,311,P Kumar,10,6,0,1,166,0,0,4,43,0,10.75,2,0,1,0,0,3,6.0,-2,0,4.0
33,315,P Kumar,1,2,0,0,50,0,1,4,29,1,7.25,3,0,2,0,0,5,-2.5,10,4,11.5
34,325,P Kumar,0,1,0,0,0,0,0,4,23,0,5.75,2,0,1,0,0,3,-3.0,1,0,-2.0
35,343,P Kumar,6,6,0,0,100,0,0,4,40,1,10.0,1,0,0,0,0,1,3.0,9,0,12.0
36,354,P Kumar,7,9,1,0,77,0,0,4,34,0,8.5,1,0,2,0,0,3,4.0,0,0,4.0
37,369,P Kumar,8,6,1,0,133,0,0,4,28,1,7.0,0,0,0,0,0,0,4.5,10,0,14.5
38,374,P Kumar,3,2,0,0,150,0,0,4,33,0,8.25,5,0,0,0,0,5,1.5,0,0,1.5
39,391,P Kumar,3,5,0,0,60,0,0,3,18,0,6.0,1,0,0,0,0,1,0.5,1,0,1.5
40,398,P Kumar,15,8,2,1,187,0,0,4,14,2,3.5,1,0,4,0,0,5,9.5,23,0,32.5
41,400,P Kumar,1,2,0,0,50,0,0,4,32,3,8.0,2,0,6,0,0,8,-2.5,30,0,27.5
42,405,P Kumar,3,6,0,0,50,0,0,3,12,1,4.0,0,0,0,0,0,0,-1.5,13,0,11.5
43,421,P Kumar,24,16,1,2,150,0,0,4,25,1,6.25,1,0,1,0,0,2,14.5,10,0,24.5
44,440,P Kumar,1,3,0,0,33,0,0,4,34,0,8.5,1,2,0,0,0,3,-2.5,0,0,-2.5
45,450,P Kumar,0,1,0,0,0,0,0,3,17,1,5.666666666666667,1,0,2,0,0,3,-3.0,11,0,8.0
46,515,P Kumar,1,2,0,0,50,0,0,4,29,0,7.25,0,0,2,0,0,2,-2.5,0,0,-2.5
47,531,P Kumar,1,1,0,0,100,0,0,4,38,1,9.5,2,0,0,0,0,2,0.5,9,0,9.5
48,541,P Kumar,0,2,0,0,0,0,0,4,35,2,8.75,3,0,0,0,0,3,-3.0,20,0,17.0
49,555,P Kumar,12,16,1,0,75,0,0,1,11,0,11.0,0,0,1,0,0,1,6.5,-2,0,4.5
50,572,P Kumar,4,6,0,0,66,0,0,2,15,0,7.5,2,0,2,0,0,4,1.0,0,0,1.0
51,585,P Kumar,0,2,0,0,0,0,0,3,20,0,6.666666666666667,1,0,2,0,0,3,-3.0,0,0,-3.0
52,591,P Kumar,1,1,0,0,100,0,0,2,31,0,15.5,6,0,0,0,0,6,0.5,-3,0,-2.5
