Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,2,RG Sharma,3,7,0,0,42,1,0,0,0,0,0.0,0,0,0,0,0,0,-1.5,0,4,2.5
1,7,RG Sharma,2,6,0,0,33,0,0,0,0,0,0.0,0,0,0,0,0,0,-2.0,0,0,-2.0
2,10,RG Sharma,4,4,0,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,2.0,0,0,2.0
3,12,RG Sharma,0,2,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
4,16,RG Sharma,40,29,3,1,137,1,0,0,0,0,0.0,0,0,0,0,0,0,22.5,0,4,26.5
5,24,RG Sharma,5,9,0,0,55,1,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,4,4.5
6,28,RG Sharma,58,40,6,3,145,0,0,0,0,0,0.0,0,0,0,0,0,0,39.0,0,0,39.0
7,34,RG Sharma,5,13,0,0,38,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.5,0,0,-0.5
8,37,RG Sharma,56,39,6,1,143,1,0,0,0,0,0.0,0,0,0,0,0,0,36.0,0,4,40.0
9,44,RG Sharma,10,6,1,0,166,3,0,0,0,0,0.0,0,0,0,0,0,0,5.5,0,12,17.5
10,47,RG Sharma,67,45,6,2,148,1,0,0,0,0,0.0,0,0,0,0,0,0,42.5,0,4,46.5
11,50,RG Sharma,5,7,0,0,71,0,0,0,0,0,0.0,0,0,0,0,0,0,2.5,0,0,2.5
12,53,RG Sharma,27,22,4,1,122,1,0,0,0,0,0.0,0,0,0,0,0,0,16.5,0,4,20.5
13,56,RG Sharma,1,2,0,0,50,0,0,0,0,0,0.0,0,0,0,0,0,0,-2.5,0,0,-2.5
14,58,RG Sharma,26,24,1,1,108,0,0,0,0,0,0.0,0,0,0,0,0,0,14.5,0,0,14.5
15,59,RG Sharma,24,23,4,0,104,0,0,0,0,0,0.0,0,0,0,0,0,0,14.0,0,0,14.0
16,64,RG Sharma,0,3,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
17,66,RG Sharma,66,37,6,4,178,0,0,0,0,0,0.0,0,0,0,0,0,0,44.0,0,0,44.0
18,68,RG Sharma,36,30,3,1,120,0,0,0,0,0,0.0,0,0,0,0,0,0,20.5,0,0,20.5
19,77,RG Sharma,76,42,10,2,180,1,0,0,0,0,0.0,0,0,0,0,0,0,49.0,0,4,53.0
20,80,RG Sharma,17,17,2,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,9.5,0,0,9.5
21,85,RG Sharma,23,17,2,1,135,2,0,0,0,0,0.0,0,0,0,0,0,0,13.5,0,8,21.5
22,89,RG Sharma,5,8,0,0,62,0,0,0,0,0,0.0,0,0,0,0,0,0,1.5,0,0,1.5
23,92,RG Sharma,33,24,3,2,137,0,0,0,0,0,0.0,0,0,0,0,0,0,20.0,0,0,20.0
24,98,RG Sharma,35,18,3,2,194,1,0,0,0,0,0.0,0,0,0,0,0,0,21.0,0,4,25.0
25,102,RG Sharma,6,10,1,0,60,1,0,0,0,0,0.0,0,0,0,0,0,0,2.5,0,4,6.5
26,108,RG Sharma,50,27,3,4,185,1,0,4,26,1,6.5,1,0,1,0,0,2,34.5,10,4,48.5
27,111,RG Sharma,57,43,5,3,132,0,0,0,0,0,0.0,0,0,0,0,0,0,38.0,0,0,38.0
28,121,RG Sharma,36,32,3,2,112,1,1,0,0,0,0.0,0,0,0,0,0,0,21.5,0,8,29.5
29,124,RG Sharma,52,31,1,5,167,1,0,0,0,0,0.0,0,0,0,0,0,0,35.5,0,4,39.5
30,128,RG Sharma,3,5,0,0,60,0,0,1,8,0,8.0,0,0,0,0,0,0,0.5,0,0,0.5
31,131,RG Sharma,18,20,0,1,90,1,0,3,18,1,6.0,0,0,0,0,0,0,10.0,11,4,25.0
32,136,RG Sharma,17,20,2,0,85,0,0,1,10,0,10.0,0,0,0,0,0,0,9.5,-1,0,8.5
33,140,RG Sharma,38,34,2,2,111,0,0,2,14,0,7.0,1,0,0,0,0,1,22.0,0,0,22.0
34,144,RG Sharma,21,20,2,1,105,0,0,1,8,0,8.0,0,0,0,0,0,0,12.5,0,0,12.5
35,147,RG Sharma,38,36,2,1,105,0,0,2,7,4,3.5,0,0,1,0,0,1,21.0,47,0,68.0
36,151,RG Sharma,9,15,1,0,60,0,0,2,13,2,6.5,0,0,1,0,0,1,4.0,20,0,24.0
37,155,RG Sharma,9,14,0,0,64,0,0,3,12,4,4.0,0,0,0,0,0,0,3.5,47,0,50.5
38,158,RG Sharma,6,7,1,0,85,0,0,0,0,0,0.0,0,0,0,0,0,0,3.5,0,0,3.5
39,163,RG Sharma,32,14,3,2,228,0,0,2,15,1,7.5,0,0,0,0,0,0,19.5,10,0,29.5
40,164,RG Sharma,42,27,3,3,155,1,0,2,23,0,11.5,0,0,0,0,0,0,25.5,-3,4,26.5
41,171,RG Sharma,12,12,1,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,6.5,0,0,6.5
42,172,RG Sharma,5,12,0,0,41,0,0,3,26,0,8.666666666666666,1,0,0,0,0,1,-0.5,0,0,-0.5
43,174,RG Sharma,24,24,1,1,100,0,0,1,9,0,9.0,0,0,0,0,0,0,13.5,-1,0,12.5
44,175,RG Sharma,13,12,2,0,108,1,0,0,0,0,0.0,0,0,0,0,0,0,7.5,0,4,11.5
