Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,7,RV Uthappa,4,3,1,0,133,1,0,0,0,0,0,0,0,0,0,0,0,2.5,0,4,6.5
1,11,RV Uthappa,26,16,3,1,162,1,0,0,0,0,0,0,0,0,0,0,0,15.5,0,4,19.5
2,14,RV Uthappa,68,40,5,4,170,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,44.5
3,18,RV Uthappa,4,2,1,0,200,2,0,0,0,0,0,0,0,0,0,0,0,2.5,0,8,10.5
4,23,RV Uthappa,72,48,8,2,150,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,46.0
5,27,RV Uthappa,11,9,2,0,122,2,0,0,0,0,0,0,0,0,0,0,0,6.5,0,8,14.5
6,29,RV Uthappa,87,49,7,6,177,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,57.0
7,31,RV Uthappa,59,33,5,4,178,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,0,40.0
8,36,RV Uthappa,53,28,4,4,189,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,36.5
9,48,RV Uthappa,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,4,1.0
10,53,RV Uthappa,2,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,0,-2.0
11,57,RV Uthappa,1,3,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
12,58,RV Uthappa,1,3,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
13,63,RV Uthappa,48,38,5,1,126,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,27.5
14,67,RV Uthappa,43,36,6,1,119,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,25.5
15,69,RV Uthappa,21,19,2,1,110,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5
16,72,RV Uthappa,6,5,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,3.5
17,75,RV Uthappa,37,39,5,0,94,1,0,0,0,0,0,0,0,0,0,0,0,21.0,0,4,25.0
18,82,RV Uthappa,22,21,0,2,104,3,0,0,0,0,0,0,0,0,0,0,0,13.0,0,12,25.0
19,86,RV Uthappa,34,24,4,1,141,1,0,0,0,0,0,0,0,0,0,0,0,20.0,0,4,24.0
20,90,RV Uthappa,19,16,2,1,118,2,0,0,0,0,0,0,0,0,0,0,0,11.5,0,8,19.5
21,96,RV Uthappa,16,22,2,0,72,1,0,0,0,0,0,0,0,0,0,0,0,9.0,0,4,13.0
22,99,RV Uthappa,9,8,2,0,112,1,1,0,0,0,0,0,0,0,0,0,0,5.5,0,8,13.5
23,102,RV Uthappa,7,18,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
24,106,RV Uthappa,9,13,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,3.5
25,109,RV Uthappa,46,23,5,2,200,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,27.5
26,113,RV Uthappa,3,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,-1.5
27,119,RV Uthappa,3,10,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,4,2.5
28,122,RV Uthappa,20,21,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,11.0
29,124,RV Uthappa,12,20,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5
30,127,RV Uthappa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
31,129,RV Uthappa,3,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5
