Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,7,SP Narine,1,2,0,0,50,1,0,4,22,1,5.5,0,0,0,0,0,0,-2.5,11,4,12.5
1,11,SP Narine,37,19,4,3,194,1,0,4,19,1,4.75,8,0,0,0,0,8,23.5,12,4,39.5
2,14,SP Narine,6,9,1,0,66,0,0,4,18,1,4.5,0,0,0,0,0,0,2.5,12,0,14.5
3,18,SP Narine,1,1,0,0,100,0,0,4,20,2,5.0,1,0,0,0,0,1,0.5,22,0,22.5
4,23,SP Narine,42,17,9,1,247,0,0,4,42,0,10.5,0,0,0,0,0,0,26.5,-2,0,24.5
5,27,SP Narine,34,18,6,1,188,0,0,0,0,0,0.0,0,0,0,0,0,0,21.0,0,0,21.0
6,29,SP Narine,16,12,3,0,133,0,0,4,34,1,8.5,1,0,0,0,0,1,9.5,10,0,19.5
7,31,SP Narine,4,4,1,0,100,0,0,4,25,2,6.25,5,0,0,0,0,5,2.5,20,0,22.5
8,36,SP Narine,1,4,0,0,25,0,0,3,37,0,12.333333333333334,1,0,0,0,0,1,-2.5,-3,0,-5.5
9,40,SP Narine,0,6,0,0,0,0,0,4,28,1,7.0,0,0,0,0,0,0,-3.0,10,0,7.0
10,45,SP Narine,54,19,6,4,284,0,0,4,29,2,7.25,0,0,0,0,0,0,38.0,20,0,58.0
11,48,SP Narine,18,10,4,0,180,0,0,4,27,1,6.75,0,0,0,0,0,0,11.0,10,0,21.0
12,53,SP Narine,0,4,0,0,0,1,0,4,37,0,9.25,2,0,0,0,0,2,-3.0,-1,4,0.0
13,58,SP Narine,10,10,0,1,100,0,0,4,21,0,5.25,0,0,0,0,0,0,6.0,1,0,7.0
14,314,SP Narine,0,1,0,0,0,0,0,4,29,0,7.25,0,0,0,0,0,0,-3.0,0,0,-3.0
15,370,SP Narine,9,7,2,0,128,0,0,4,15,4,3.75,0,0,0,0,0,0,5.5,47,0,52.5
16,389,SP Narine,2,2,0,0,100,0,0,4,29,2,7.25,0,0,1,0,0,1,1.0,20,0,21.0
17,392,SP Narine,1,1,0,0,100,0,0,4,17,0,4.25,0,0,0,0,0,0,0.5,2,0,2.5
18,400,SP Narine,1,3,0,0,33,0,0,4,33,3,8.25,1,0,0,0,0,1,-2.5,30,0,27.5
19,406,SP Narine,13,6,0,2,216,1,0,4,21,1,5.25,0,0,1,0,0,1,8.5,11,4,23.5
20,434,SP Narine,3,6,0,0,50,1,0,4,29,1,7.25,1,0,0,0,0,1,-1.5,10,4,12.5
21,453,SP Narine,1,2,0,0,50,0,0,4,11,1,2.75,1,0,0,0,0,1,-2.5,13,0,10.5
22,472,SP Narine,6,8,0,0,75,0,0,4,24,3,6.0,0,0,0,0,0,0,3.0,31,0,34.0
23,476,SP Narine,1,2,0,0,50,0,0,5,39,0,7.8,0,0,0,0,0,0,-2.5,0,0,-2.5
24,478,SP Narine,1,1,0,0,100,0,0,4,27,0,6.75,0,0,1,1,0,2,0.5,0,0,0.5
25,517,SP Narine,2,4,0,0,50,0,0,4,47,1,11.75,0,0,1,1,0,2,-2.0,7,0,5.0
26,560,SP Narine,0,1,0,0,0,0,0,4,19,4,4.75,0,0,0,0,0,0,-3.0,46,0,43.0
27,602,SP Narine,4,4,0,0,100,1,0,3,22,1,7.333333333333333,1,0,0,0,0,1,2.0,10,4,16.0
28,627,SP Narine,2,7,0,0,28,0,0,4,30,2,7.5,6,0,0,0,0,6,-2.0,20,0,18.0
29,634,SP Narine,1,3,0,0,33,0,0,4,35,0,8.75,2,0,0,0,0,2,-2.5,0,0,-2.5
