Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,15,Sandeep Sharma,2,2,0,0,100,0,0,4,41,1,10.25,0,0,0,0,0,0,1.0,8,0,9.0
1,19,Sandeep Sharma,5,5,0,0,100,1,0,4,38,1,9.5,0,0,3,0,0,3,2.5,9,4,15.5
2,440,Sandeep Sharma,0,1,0,0,0,0,0,4,22,3,5.5,0,0,1,0,0,1,-3.0,31,0,28.0
3,472,Sandeep Sharma,2,5,0,0,40,0,0,4,21,3,5.25,1,0,0,0,0,1,-2.0,31,0,29.0
4,542,Sandeep Sharma,1,4,0,0,25,0,0,4,32,0,8.0,0,0,0,0,0,0,-2.5,0,0,-2.5
5,544,Sandeep Sharma,1,1,0,0,100,0,0,4,35,1,8.75,0,0,0,0,0,0,0.5,10,0,10.5
6,557,Sandeep Sharma,7,9,1,0,77,0,0,4,41,2,10.25,0,0,0,1,0,1,4.0,18,0,22.0
7,583,Sandeep Sharma,1,2,0,0,50,0,0,2,6,1,3.0,0,0,0,0,0,0,-2.5,13,0,10.5
8,604,Sandeep Sharma,1,1,0,0,100,0,0,4,31,1,7.75,1,0,0,0,0,1,0.5,10,0,10.5
9,608,Sandeep Sharma,1,1,0,0,100,0,0,4,25,2,6.25,3,0,0,0,0,3,0.5,20,0,20.5
10,626,Sandeep Sharma,5,5,0,0,100,0,0,3,29,1,9.666666666666666,0,0,0,0,0,0,2.5,9,0,11.5
