Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,1,TM Head,30,22,3,0,136,0,0,1,11,0,11.0,0,0,0,0,0,0,16.5,-2,0,14.5
1,20,TM Head,30,16,2,1,187,0,0,2,18,1,9.0,0,0,0,0,0,0,17.0,9,0,26.0
2,30,TM Head,0,1,0,0,0,0,0,1,11,0,11.0,0,0,0,0,0,0,-3.0,-2,0,-5.0
3,33,TM Head,2,5,0,0,40,0,0,0,0,0,0.0,0,0,0,0,0,0,-2.0,0,0,-2.0
4,37,TM Head,12,15,1,0,80,3,0,0,0,0,0.0,0,0,0,0,0,0,6.5,0,12,18.5
5,45,TM Head,75,48,3,5,156,0,0,2,11,0,5.5,0,0,0,0,0,0,48.0,1,0,49.0
6,55,TM Head,2,2,0,0,100,0,0,3,30,2,10.0,0,0,0,0,0,0,1.0,19,0,20.0
7,590,TM Head,37,25,2,2,148,0,0,0,0,0,0.0,0,0,0,0,0,0,21.5,0,0,21.5
8,611,TM Head,6,9,0,0,66,0,0,0,0,0,0.0,0,0,0,0,0,0,2.0,0,0,2.0
9,615,TM Head,11,8,1,0,137,0,0,0,0,0,0.0,0,0,0,0,0,0,6.0,0,0,6.0
