Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,12,V Kohli,62,48,5,2,129,0,0,0,0,0,0.0,0,0,0,0,0,0,39.5,0,0,39.5
1,17,V Kohli,28,19,3,1,147,1,1,0,0,0,0.0,0,0,0,0,0,0,16.5,0,8,24.5
2,20,V Kohli,64,51,7,1,125,1,0,0,0,0,0.0,0,0,0,0,0,0,40.5,0,4,44.5
3,27,V Kohli,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,4,1.0
4,30,V Kohli,10,14,0,1,71,0,0,0,0,0,0.0,0,0,0,0,0,0,6.0,0,0,6.0
5,33,V Kohli,55,48,4,1,114,0,0,0,0,0,0.0,0,0,0,0,0,0,34.5,0,0,34.5
6,37,V Kohli,20,15,0,2,133,0,0,0,0,0,0.0,0,0,0,0,0,0,12.0,0,0,12.0
7,42,V Kohli,6,6,1,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,3.5,0,0,3.5
8,45,V Kohli,5,9,0,0,55,0,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.5
9,55,V Kohli,58,46,3,3,126,2,0,0,0,0,0.0,0,0,0,0,0,0,37.5,0,8,45.5
10,60,V Kohli,1,5,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0,-2.5,0,0,-2.5
11,63,V Kohli,23,15,3,1,153,2,0,0,0,0,0.0,0,0,0,0,0,0,14.0,0,8,22.0
12,70,V Kohli,13,16,0,1,81,0,0,0,0,0,0.0,0,0,0,0,0,0,7.5,0,0,7.5
13,74,V Kohli,12,7,2,0,171,0,0,0,0,0,0.0,0,0,0,0,0,0,7.0,0,0,7.0
14,76,V Kohli,1,1,0,0,100,0,0,1,11,0,11.0,0,0,0,0,0,0,0.5,-2,0,-1.5
