Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,4,WP Saha,14,9,3,0,155,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,8.5
1,11,WP Saha,25,17,2,2,147,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,15.5
2,15,WP Saha,7,5,1,0,140,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0,4,8.0
3,19,WP Saha,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,8,5.0
4,22,WP Saha,11,16,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4.5
5,26,WP Saha,10,5,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
6,32,WP Saha,2,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,0,-2.0
7,42,WP Saha,21,25,1,0,84,3,0,0,0,0,0,0,0,0,0,0,0,11.0,0,12,23.0
8,48,WP Saha,38,34,2,1,111,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,21.0
9,50,WP Saha,93,59,11,3,157,1,0,0,0,0,0,0,0,0,0,0,0,59.0,0,4,63.0
10,54,WP Saha,13,18,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5
11,64,WP Saha,10,17,1,0,58,2,0,0,0,0,0,0,0,0,0,0,0,3.5,0,8,11.5
12,71,WP Saha,27,16,5,1,168,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,17.0
13,78,WP Saha,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.5
14,81,WP Saha,59,32,2,4,184,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,0,38.5
15,88,WP Saha,17,10,1,1,170,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,10.0
16,95,WP Saha,5,6,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,2.5,0,4,6.5
17,99,WP Saha,1,6,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
18,103,WP Saha,15,9,1,0,166,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,8.0
19,105,WP Saha,11,6,0,1,183,2,0,0,0,0,0,0,0,0,0,0,0,6.5,0,8,14.5
20,112,WP Saha,13,15,2,0,86,0,1,0,0,0,0,0,0,0,0,0,0,7.5,0,4,11.5
21,134,WP Saha,21,14,0,1,150,1,0,0,0,0,0,0,0,0,0,0,0,11.5,0,4,15.5
22,138,WP Saha,8,4,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4.5
23,146,WP Saha,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
24,154,WP Saha,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,0,-3.0
25,156,WP Saha,10,5,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0
26,163,WP Saha,7,3,0,1,233,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4.5
27,166,WP Saha,25,13,2,1,192,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,14.5
28,182,WP Saha,22,13,5,0,169,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,13.5
29,187,WP Saha,1,2,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,4,1.5
