Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,over,total_runs,wicket,economy,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,extra_runs,asBataman,asBowler,asFielder,Dream11Score
0,1,Yuvraj Singh,62,30,7,3,206,2,0,0,0,0,0.0,0,0,0,0,0,0,41.5,0,8,49.5
1,10,Yuvraj Singh,5,8,1,0,62,0,0,0,0,0,0.0,0,0,0,0,0,0,2.0,0,0,2.0
2,14,Yuvraj Singh,26,18,2,2,144,0,0,0,0,0,0.0,0,0,0,0,0,0,16.0,0,0,16.0
3,19,Yuvraj Singh,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,-3.0,0,0,-3.0
4,21,Yuvraj Singh,3,4,0,0,75,0,0,1,7,2,7.0,0,1,0,0,0,1,1.5,20,0,21.5
5,32,Yuvraj Singh,15,12,2,0,125,0,0,0,0,0,0.0,0,0,0,0,0,0,8.5,0,0,8.5
6,36,Yuvraj Singh,6,7,0,0,85,0,0,0,0,0,0.0,0,0,0,0,0,0,3.0,0,0,3.0
7,39,Yuvraj Singh,70,43,11,1,162,0,0,1,16,0,16.0,0,0,0,0,0,0,45.5,-3,0,42.5
8,43,Yuvraj Singh,47,44,4,2,106,1,0,0,0,0,0.0,0,0,0,0,0,0,27.5,0,4,31.5
9,47,Yuvraj Singh,9,12,1,0,75,0,0,0,0,0,0.0,0,0,0,0,0,0,5.0,0,0,5.0
10,57,Yuvraj Singh,9,9,2,0,100,0,0,0,0,0,0.0,0,0,0,0,0,0,5.5,0,0,5.5
11,61,Yuvraj Singh,23,13,1,2,176,0,0,0,0,0,0.0,0,0,0,0,0,0,14.0,0,0,14.0
12,65,Yuvraj Singh,57,35,6,3,162,0,0,0,0,0,0.0,0,0,0,0,0,0,38.5,0,0,38.5
13,69,Yuvraj Singh,18,9,1,1,200,1,0,0,0,0,0.0,0,0,0,0,0,0,10.5,0,4,14.5
14,73,Yuvraj Singh,40,29,3,2,137,2,0,2,11,1,5.5,1,0,0,0,0,1,23.5,11,8,42.5
15,77,Yuvraj Singh,14,10,2,0,140,2,1,0,0,0,0.0,0,0,0,0,0,0,8.0,0,12,20.0
16,81,Yuvraj Singh,17,10,2,1,170,1,0,0,0,0,0.0,0,0,0,0,0,0,10.5,0,4,14.5
17,84,Yuvraj Singh,1,4,0,0,25,0,0,0,0,0,0.0,0,0,0,0,0,0,-2.5,0,0,-2.5
18,91,Yuvraj Singh,2,5,0,0,40,1,0,1,8,0,8.0,0,0,0,0,0,0,-2.0,0,4,2.0
19,97,Yuvraj Singh,49,16,2,6,306,0,0,1,20,0,20.0,0,0,0,0,0,0,31.5,-3,0,28.5
20,100,Yuvraj Singh,23,8,1,3,287,0,0,0,0,0,0.0,0,0,0,0,0,0,15.0,0,0,15.0
21,106,Yuvraj Singh,7,6,1,0,116,0,2,2,14,2,7.0,0,0,2,0,0,2,4.0,20,8,32.0
22,108,Yuvraj Singh,17,18,2,0,94,0,0,1,18,0,18.0,0,0,0,0,0,0,9.5,-3,0,6.5
23,112,Yuvraj Singh,27,19,3,1,142,0,0,0,0,0,0.0,0,0,0,0,0,0,16.0,0,0,16.0
24,116,Yuvraj Singh,4,9,0,0,44,0,0,0,0,0,0.0,0,0,0,0,0,0,-1.0,0,0,-1.0
25,120,Yuvraj Singh,16,12,0,2,133,0,0,0,0,0,0.0,0,0,0,0,0,0,10.0,0,0,10.0
26,123,Yuvraj Singh,38,32,3,2,118,0,0,0,0,0,0.0,0,0,0,0,0,0,22.5,0,0,22.5
27,127,Yuvraj Singh,30,18,3,1,166,1,0,3,28,0,9.333333333333334,0,0,0,0,0,0,17.5,-1,4,20.5
