,Players
0,HM Amla
1,M Vohra
2,WP Saha
3,AR Patel
4,GJ Maxwell
5,DA Miller
6,MP Stoinis
7,MM Sharma
8,VR Aaron
9,EJG Morgan
10,KC Cariappa
11,Sandeep Sharma
12,I Sharma
13,SE Marsh
14,MJ Guptill
15,Anureet Singh
16,Swapnil Singh
17,R Tewatia
18,K Goel
19,JR Hopes
20,KC Sangakkara
21,Yuvraj Singh
22,SM Katich
23,IK Pathan
24,DPMD Jayawardene
25,S Sohal
26,B Lee
27,PP Chawla
28,WA Mota
29,RR Sarwan
30,S Sreesanth
31,VRV Singh
32,TM Srivastava
33,U Kaul
34,LA Pomersbach
35,RR Powar
36,RS Bopara
37,T Kohli
38,MS Bisla
39,M Kaif
40,YA Abdulla
41,AB Barath
42,Bipul Sharma
43,J Theron
44,SJ Srivastava
45,VS Malik
46,RS Sodhi
47,AC Gilchrist
48,PC Valthaty
49,KD Karthik
50,AM Nayar
51,Sunny Singh
52,R McLaren
53,P Kumar
54,NJ Rimmington
55,DJ Hussey
56,RJ Harris
57,L Ablish
58,Mandeep Singh
59,SD Chitnis
60,BA Bhatt
61,JP Faulkner
62,Harmeet Singh
63,AD Mascarenhas
64,P Dogra
65,N Saini
66,Azhar Mahmood
67,Gurkeerat Singh
68,P Awana
69,R Sathish
70,MS Gony
71,CA Pujara
72,V Sehwag
73,GJ Bailey
74,MG Johnson
75,R Dhawan
76,L Balaji
77,Shivam Sharma
78,BE Hendricks
79,Karanveer Singh
80,M Vijay
81,NLTC Perera
82,SN Thakur
83,P Sahu
84,KJ Abbott
85,NS Naik
86,F Behardien
