,Players
0,GC Smith
1,M Manhas
2,JD Ryder
3,RV Uthappa
4,Yuvraj Singh
5,MD Mishra
6,WD Parnell
7,R Sharma
8,TD Paine
9,M Kartik
10,SB Wagh
11,AC Thomas
12,MK Pandey
13,NL McCullum
14,JE Taylor
15,MR Marsh
16,Harpreet Singh
17,AA Jhunjhunwala
18,CJ Ferguson
19,SC Ganguly
20,B Kumar
21,S Rana
22,SPD Smith
23,MN Samuels
24,AD Mathews
25,A Nehra
26,AB Dinda
27,MJ Clarke
28,AP Majumdar
29,K Upadhyay
30,AG Murtaza
31,LRPL Taylor
32,AM Nayar
33,TL Suman
34,AJ Finch
35,LJ Wright
36,IC Pandey
37,KW Richardson
38,BAW Mendis
39,UA Birla
40,M Rawat
41,Parvez Rasool
42,RV Gomez
